From_fips,To_fips,From_County,To_County,Tx_Capacity_MW,n_circuits,sum_rate_mva,sum_B_pu,x_eq_pu,pf_used_med,kv_min_med,edge_type,From_state,From_zone,From_zone_name,From_interconnect,To_state,To_zone,To_zone_name,To_interconnect,n_links
23001,23017,Androscoggin,Androscoggin,909.7,4,909.7,210.5444726,0.00474959,1,4,AC,ME,1,Maine,Eastern,ME,1,Maine,Eastern,
23001,23023,Androscoggin,Sagadahoc,1051.65,4,1051.65,412.1526009,0.002426286,1,4,AC,ME,1,Maine,Eastern,ME,1,Maine,Eastern,
23003,23019,Aroostook,Penobscot,999.13,4,999.13,55.12474455,0.018140674,1,4,AC,ME,1,Maine,Eastern,ME,1,Maine,Eastern,
23003,23029,Aroostook,Washington,166.63,1,166.63,37.52908504,0.026646,1,1,AC,ME,1,Maine,Eastern,ME,1,Maine,Eastern,
23005,23017,Cumberland,Oxford,1195.18,5,1195.18,224.4158483,0.004456013,1,5,AC,ME,1,Maine,Eastern,ME,1,Maine,Eastern,
23005,23023,Cumberland,Sagadahoc,799.22,5,799.22,200.7933373,0.004980245,1,5,AC,ME,1,Maine,Eastern,ME,1,Maine,Eastern,
23005,23031,Cumberland,York,8675.61,11,8675.61,946.4291507,0.001056603,1,11,AC,ME,1,Maine,Eastern,ME,1,Maine,Eastern,
23007,23011,Kennebec,Franklin,863.62,3,863.62,123.0863299,0.008124379,1,3,AC,ME,1,Maine,Eastern,ME,1,Maine,Eastern,
23007,23017,Franklin,Franklin,2515.99,4,2515.99,390.8322054,0.002558643,1,4,AC,ME,1,Maine,Eastern,ME,1,Maine,Eastern,
23007,23019,Franklin,Penobscot,473.5,1,473.5,10.23510025,0.097703,1,1,AC,ME,1,Maine,Eastern,ME,1,Maine,Eastern,
23007,23021,Franklin,Piscataquis,155.81,1,155.81,9.903833774,0.100971,1,1,AC,ME,1,Maine,Eastern,ME,1,Maine,Eastern,
23007,23025,Franklin,Somerset,470.46,3,470.46,46.06157558,0.021710069,1,3,AC,ME,1,Maine,Eastern,ME,1,Maine,Eastern,
23007,33007,Franklin,Coos,292.2,2,292.2,10.13786873,0.098640062,1,2,AC,ME,1,Maine,Eastern,NH,1,Maine,Eastern,
23009,23013,Hancock,Knox,160.58,1,160.58,14.80253419,0.067556,1,1,AC,ME,1,Maine,Eastern,ME,1,Maine,Eastern,
23009,23019,Hancock,Penobscot,3089.66,5,3089.66,375.1993078,0.00266525,1,5,AC,ME,1,Maine,Eastern,ME,1,Maine,Eastern,
23009,23027,Hancock,Hancock,1477.46,4,1477.46,271.7507998,0.003679842,1,4,AC,ME,1,Maine,Eastern,ME,1,Maine,Eastern,
23009,23029,Hancock,Washington,448.04,2,448.04,79.80226545,0.012530973,1,2,AC,ME,1,Maine,Eastern,ME,1,Maine,Eastern,
23011,23015,Kennebec,Lincoln,343.69,2,343.69,94.62968166,0.010567509,1,2,AC,ME,1,Maine,Eastern,ME,1,Maine,Eastern,
23011,23023,Kennebec,Kennebec,1453.77,4,1453.77,195.3726024,0.005118425,1,4,AC,ME,1,Maine,Eastern,ME,1,Maine,Eastern,
23011,23025,Kennebec,Kennebec,5978.99,12,5978.99,853.847364,0.00117117,1,12,AC,ME,1,Maine,Eastern,ME,1,Maine,Eastern,
23011,23027,Waldo,Kennebec,690.15,3,690.15,140.4370302,0.007120629,1,3,AC,ME,1,Maine,Eastern,ME,1,Maine,Eastern,
23013,23015,Knox,Lincoln,1306.04,4,1306.04,204.9114562,0.004880157,1,4,AC,ME,1,Maine,Eastern,ME,1,Maine,Eastern,
23013,23027,Knox,Waldo,2052.83,6,2052.83,269.0580747,0.00371667,1,6,AC,ME,1,Maine,Eastern,ME,1,Maine,Eastern,
23015,23027,Lincoln,Waldo,177.89,1,177.89,37.5023439,0.026665,1,1,AC,ME,1,Maine,Eastern,ME,1,Maine,Eastern,
23017,23025,Somerset,Oxford,484.78,1,484.78,9.771159446,0.102342,1,1,AC,ME,1,Maine,Eastern,ME,1,Maine,Eastern,
23017,23031,Oxford,Oxford,291.69,2,291.69,45.15831266,0.022144317,1,2,AC,ME,1,Maine,Eastern,ME,1,Maine,Eastern,
23017,33003,Oxford,Carroll,2008.63,10,2008.63,294.103294,0.003400166,1,10,AC,ME,1,Maine,Eastern,NH,2,New Hampshire,Eastern,
23017,33007,Oxford,Coos,4171.59,10,4171.59,243.8892783,0.004100221,1,10,AC,ME,1,Maine,Eastern,NH,2,New Hampshire,Eastern,
23017,33009,Oxford,Grafton,140.33,1,140.33,4.287907244,0.233214,1,1,AC,ME,1,Maine,Eastern,NH,2,New Hampshire,Eastern,
23017,50009,Oxford,Essex,151.51,1,151.51,5.264792751,0.189941,1,1,AC,ME,1,Maine,Eastern,VT,3,Vermont,Eastern,
23017,50019,Oxford,Orleans,145.69,1,145.69,5.048388807,0.198083,1,1,AC,ME,1,Maine,Eastern,VT,3,Vermont,Eastern,
23019,23021,Piscataquis,Penobscot,1841.77,7,1841.77,165.2749731,0.006050523,1,7,AC,ME,1,Maine,Eastern,ME,1,Maine,Eastern,
23019,23025,Penobscot,Somerset,3762.39,6,3762.39,274.9900691,0.003636495,1,6,AC,ME,1,Maine,Eastern,ME,1,Maine,Eastern,
23019,23027,Waldo,Penobscot,1212.06,5,1212.06,156.1450378,0.006404302,1,5,AC,ME,1,Maine,Eastern,ME,1,Maine,Eastern,
23019,23029,Washington,Penobscot,590.7,2,590.7,80.5063478,0.012421381,1,2,AC,ME,1,Maine,Eastern,ME,1,Maine,Eastern,
23021,23025,Piscataquis,Somerset,674.92,4,674.92,40.42096428,0.024739637,1,4,AC,ME,1,Maine,Eastern,ME,1,Maine,Eastern,
23025,23027,Somerset,Waldo,278.55,2,278.55,56.85575832,0.017588368,1,2,AC,ME,1,Maine,Eastern,ME,1,Maine,Eastern,
23031,33003,Carroll,Carroll,2600.98,2,2600.98,133.8647825,0.007470225,1,2,AC,ME,1,Maine,Eastern,ME,1,Maine,Eastern,
23031,33015,Rockingham,Rockingham,4973.09,6,4973.09,1351.382123,0.000739983,1,6,AC,ME,1,Maine,Eastern,ME,2,New Hampshire,Eastern,
23031,33017,Strafford,York,2376.06,9,2376.06,610.1847615,0.001638848,1,9,AC,NH,1,Maine,Eastern,ME,2,New Hampshire,Eastern,
25001,25023,Barnstable,Plymouth,125.52,1,125.52,47.50142504,0.021052,1,1,AC,MA,4,Massachusetts,Eastern,MA,4,Massachusetts,Eastern,
25003,25011,Berkshire,Berkshire,672.64,4,672.64,650.0969048,0.001538232,1,4,AC,MA,4,Massachusetts,Eastern,MA,4,Massachusetts,Eastern,
25003,25013,Berkshire,Hampden,600.96,2,600.96,45.65689172,0.021902498,1,2,AC,MA,4,Massachusetts,Eastern,MA,4,Massachusetts,Eastern,
25003,50003,Bennington,Berkshire,627.77,2,627.77,112.8966152,0.008857661,1,2,AC,VT,3,Massachusetts,Eastern,MA,4,Massachusetts,Eastern,
25003,50021,Rutland,Berkshire,175.66,1,175.66,3.131556697,0.31933,1,1,AC,VT,3,Vermont,Eastern,MA,4,Massachusetts,Eastern,
25003,50025,Windham,Berkshire,5366.25,2,5366.25,570.1216517,0.001754012,1,2,AC,VT,3,Vermont,Eastern,MA,4,Massachusetts,Eastern,
25005,25021,Norfolk,Bristol,1925.79,7,1925.79,492.6927176,0.002029663,1,7,AC,MA,4,Massachusetts,Eastern,MA,4,Massachusetts,Eastern,
25005,25023,Bristol,Plymouth,7602.65,10,7602.65,984.7551422,0.001015481,1,10,AC,MA,4,Massachusetts,Eastern,MA,4,Massachusetts,Eastern,
25005,25027,Bristol,Worcester,2377.46,1,2377.46,143.3486239,0.006976,1,1,AC,MA,4,Massachusetts,Eastern,MA,4,Massachusetts,Eastern,
25005,44001,Bristol,Bristol,921.28,3,921.28,432.3540398,0.002312919,1,3,AC,MA,4,Massachusetts,Eastern,RI,5,Rhode Island,Eastern,
25005,44003,Bristol,Bristol,3493.35,4,3493.35,431.89178,0.002315395,1,4,AC,MA,4,Massachusetts,Eastern,MA,4,Massachusetts,Eastern,
25005,44005,Bristol,Newport,5813.78,5,5813.78,761.7020932,0.001312849,1,5,AC,MA,4,Massachusetts,Eastern,RI,4,Massachusetts,Eastern,
25005,44007,Bristol,Providence,2681.88,16,2681.88,1008.271971,0.000991796,1,16,AC,MA,4,Massachusetts,Eastern,RI,5,Rhode Island,Eastern,
25009,25017,Essex,Middlesex,6826.45,17,6826.45,1587.314211,0.000629995,1,17,AC,MA,4,Massachusetts,Eastern,MA,4,Massachusetts,Eastern,
25009,25025,Essex,Suffolk,149.31,1,149.31,37.89888577,0.026386,1,1,AC,MA,4,Massachusetts,Eastern,MA,4,Massachusetts,Eastern,
25009,33015,Essex,Rockingham,9342.44,12,9342.44,1088.733509,0.000918498,1,12,AC,MA,2,New Hampshire,Eastern,NH,2,Massachusetts,Eastern,
25011,25013,Hampden,Franklin,160.64,1,160.64,11.63819189,0.085924,1,1,AC,MA,4,Massachusetts,Eastern,MA,4,Massachusetts,Eastern,
25011,25015,Franklin,Franklin,2629.57,10,2629.57,438.8950582,0.002278449,1,10,AC,MA,4,Massachusetts,Eastern,MA,4,Massachusetts,Eastern,
25011,25027,Worcester,Franklin,772.94,2,772.94,128.2807326,0.007795403,1,2,AC,MA,4,Massachusetts,Eastern,MA,4,Massachusetts,Eastern,
25011,33005,Cheshire,Franklin,167.78,1,167.78,82.67879289,0.012095,1,1,AC,NH,3,Vermont,Eastern,MA,2,New Hampshire,Eastern,
25011,50003,Bennington,Bennington,323.85,2,323.85,114.5622819,0.008728876,1,2,AC,MA,4,Massachusetts,Eastern,MA,3,Massachusetts,Eastern,
25011,50025,Windham,Franklin,4286.03,6,4286.03,456.8410879,0.002188945,1,6,AC,VT,3,Massachusetts,Eastern,MA,4,Massachusetts,Eastern,
25013,25015,Hampshire,Hampden,4944.76,10,4944.76,737.1154617,0.00135664,1,10,AC,MA,4,Massachusetts,Eastern,MA,4,Massachusetts,Eastern,
25013,25027,Hampden,Hampden,666.32,2,666.32,123.487883,0.008097961,1,2,AC,MA,4,Connecticut,Eastern,MA,4,Massachusetts,Eastern,
25015,25027,Worcester,Hampshire,2989.74,3,2989.74,229.2982511,0.004361132,1,3,AC,MA,4,Massachusetts,Eastern,MA,4,Massachusetts,Eastern,
25017,25021,Middlesex,Norfolk,6640.61,18,6640.61,2277.776876,0.000439025,1,18,AC,MA,4,Massachusetts,Eastern,MA,4,Massachusetts,Eastern,
25017,25025,Suffolk,Middlesex,5423.03,14,5423.03,2226.735563,0.000449088,1,14,AC,MA,4,Massachusetts,Eastern,MA,4,Massachusetts,Eastern,
25017,25027,Middlesex,Worcester,11997.58,22,11997.58,1825.454054,0.000547809,1,22,AC,MA,4,Massachusetts,Eastern,MA,4,Massachusetts,Eastern,
25017,33011,Hillsborough,Middlesex,1322.32,6,1322.32,383.6700049,0.002606407,1,6,AC,NH,2,New Hampshire,Eastern,MA,4,Massachusetts,Eastern,
25017,33015,Rockingham,Middlesex,4076.02,4,4076.02,471.5026417,0.002120879,1,4,AC,NH,2,Massachusetts,Eastern,MA,4,Massachusetts,Eastern,
25021,25023,Norfolk,Plymouth,1693.53,6,1693.53,557.0103908,0.001795299,1,6,AC,MA,4,Massachusetts,Eastern,MA,4,Massachusetts,Eastern,
25021,25025,Norfolk,Suffolk,4947.97,16,4947.97,2698.332919,0.000370599,1,16,AC,MA,4,Massachusetts,Eastern,MA,4,Massachusetts,Eastern,
25021,25027,Worcester,Norfolk,9362.75,8,9362.75,2609.46657,0.00038322,1,8,AC,MA,4,Massachusetts,Eastern,MA,4,Massachusetts,Eastern,
25021,44007,Norfolk,Norfolk,1350.06,4,1350.06,334.6154539,0.002988505,1,4,AC,MA,4,Massachusetts,Eastern,MA,4,Massachusetts,Eastern,
25027,33011,Worcester,Hillsborough,509.84,1,509.84,78.75255946,0.012698,1,1,AC,MA,4,Massachusetts,Eastern,NH,2,New Hampshire,Eastern,
25027,44007,Worcester,Providence,870.25,5,870.25,503.9334327,0.001984389,1,5,AC,MA,4,Massachusetts,Eastern,RI,5,Rhode Island,Eastern,
33001,33003,Carroll,Belknap,952.99,6,952.99,272.5802908,0.003668644,1,6,AC,NH,2,New Hampshire,Eastern,NH,2,New Hampshire,Eastern,
33001,33009,Belknap,Belknap,1269.12,6,1269.12,220.0024733,0.004545403,1,6,AC,NH,2,New Hampshire,Eastern,NH,2,New Hampshire,Eastern,
33001,33013,Belknap,Merrimack,968.49,4,968.49,226.1280412,0.004422273,1,4,AC,NH,2,New Hampshire,Eastern,NH,2,New Hampshire,Eastern,
33001,33017,Strafford,Belknap,469.55,1,469.55,79.3398921,0.012604,1,1,AC,NH,2,New Hampshire,Eastern,NH,2,New Hampshire,Eastern,
33003,33007,Carroll,Coos,365.2,2,365.2,22.84675595,0.04376989,1,2,AC,NH,2,New Hampshire,Eastern,NH,2,New Hampshire,Eastern,
33003,33009,Carroll,Grafton,709,3,709,62.63923984,0.015964434,1,3,AC,NH,2,New Hampshire,Eastern,NH,2,New Hampshire,Eastern,
33003,33017,Carroll,Strafford,508.62,1,508.62,61.6750956,0.016214,1,1,AC,NH,2,New Hampshire,Eastern,NH,2,New Hampshire,Eastern,
33005,33011,Cheshire,Hillsborough,993.53,4,993.53,105.4617684,0.009482109,1,4,AC,NH,2,New Hampshire,Eastern,NH,2,New Hampshire,Eastern,
33005,33013,Cheshire,Merrimack,281.75,2,281.75,21.84165225,0.045784082,1,2,AC,NH,2,New Hampshire,Eastern,NH,2,New Hampshire,Eastern,
33005,33019,Cheshire,Cheshire,687.56,2,687.56,165.9319838,0.006026566,1,2,AC,NH,2,New Hampshire,Eastern,NH,2,New Hampshire,Eastern,
33005,50025,Cheshire,Windham,4250.62,7,4250.62,501.780285,0.001992904,1,7,AC,NH,2,New Hampshire,Eastern,VT,2,New Hampshire,Eastern,
33007,33009,Grafton,Coos,656.36,2,656.36,47.88783017,0.020882132,1,2,AC,NH,2,New Hampshire,Eastern,NH,2,New Hampshire,Eastern,
33007,50005,Coos,Caledonia,564.34,1,564.34,30.08514095,0.033239,1,1,AC,NH,2,New Hampshire,Eastern,VT,3,Vermont,Eastern,
33007,50009,Coos,Essex,1042.03,4,1042.03,122.284366,0.00817766,1,4,AC,NH,2,New Hampshire,Eastern,VT,3,Vermont,Eastern,
33009,33013,Grafton,Merrimack,1002.92,4,1002.92,73.87736121,0.013535946,1,4,AC,NH,2,New Hampshire,Eastern,NH,2,New Hampshire,Eastern,
33009,33019,Grafton,Sullivan,3055.05,5,3055.05,484.0162972,0.002066046,1,5,AC,NH,2,New Hampshire,Eastern,NH,2,New Hampshire,Eastern,
33009,50005,Grafton,Caledonia,6656.13,9,6656.13,1053.339987,0.000949361,1,9,AC,NH,2,New Hampshire,Eastern,VT,2,New Hampshire,Eastern,
33009,50009,Grafton,Essex,176.85,1,176.85,24.81389578,0.0403,1,1,AC,NH,2,New Hampshire,Eastern,VT,2,New Hampshire,Eastern,
33009,50017,Grafton,Orange,1327.84,4,1327.84,150.0982344,0.006662304,1,4,AC,NH,2,New Hampshire,Eastern,VT,3,Vermont,Eastern,
33009,50027,Grafton,Windsor,1106.02,4,1106.02,202.4552475,0.004939363,1,4,AC,NH,2,New Hampshire,Eastern,VT,3,Vermont,Eastern,
33011,33013,Hillsborough,Merrimack,2537,9,2537,648.1217989,0.00154292,1,9,AC,NH,2,New Hampshire,Eastern,NH,2,New Hampshire,Eastern,
33011,33015,Hillsborough,Rockingham,2582.91,6,2582.91,588.9945124,0.001697809,1,6,AC,NH,2,New Hampshire,Eastern,NH,2,New Hampshire,Eastern,
33011,33019,Hillsborough,Sullivan,740.83,2,740.83,71.48195741,0.013989544,1,2,AC,NH,2,New Hampshire,Eastern,NH,2,New Hampshire,Eastern,
33013,33015,Rockingham,Merrimack,2544.25,2,2544.25,303.4910075,0.003294991,1,2,AC,NH,2,New Hampshire,Eastern,NH,2,New Hampshire,Eastern,
33013,33017,Strafford,Merrimack,168.27,1,168.27,17.64259628,0.056681,1,1,AC,NH,2,New Hampshire,Eastern,NH,2,New Hampshire,Eastern,
33013,33019,Merrimack,Sullivan,711.34,5,711.34,71.51084616,0.013983893,1,5,AC,NH,2,New Hampshire,Eastern,NH,2,New Hampshire,Eastern,
33013,50027,Merrimack,Windsor,163.12,1,163.12,11.52711177,0.086752,1,1,AC,NH,2,New Hampshire,Eastern,VT,3,Vermont,Eastern,
33015,33017,Rockingham,Strafford,959.96,6,959.96,525.1605103,0.00190418,1,6,AC,NH,2,New Hampshire,Eastern,NH,2,New Hampshire,Eastern,
33019,50003,Sullivan,Bennington,406.1,1,406.1,12.45485116,0.08029,1,1,AC,NH,2,New Hampshire,Eastern,VT,3,Vermont,Eastern,
33019,50025,Windham,Sullivan,169.24,1,169.24,27.30226336,0.036627,1,1,AC,VT,3,Vermont,Eastern,NH,3,Vermont,Eastern,
33019,50027,Sullivan,Windsor,4471.1,9,4471.1,723.1757064,0.00138279,1,9,AC,NH,2,New Hampshire,Eastern,VT,3,Vermont,Eastern,
44001,44007,Bristol,Providence,176.72,1,176.72,32.87202919,0.030421,1,1,AC,RI,5,Rhode Island,Eastern,RI,5,Rhode Island,Eastern,
44003,44007,Kent,Providence,1905.62,7,1905.62,564.3130027,0.001772066,1,7,AC,RI,5,Rhode Island,Eastern,RI,5,Rhode Island,Eastern,
44003,44009,Kent,Washington,3353.82,4,3353.82,325.9042883,0.003068386,1,4,AC,RI,5,Rhode Island,Eastern,RI,5,Rhode Island,Eastern,
44005,44009,Newport,Washington,882.43,4,882.43,80.75275994,0.012383478,1,4,AC,RI,5,Rhode Island,Eastern,RI,5,Rhode Island,Eastern,
50001,50007,Addison,Addison,933.69,4,933.69,115.5933523,0.008651017,1,4,AC,VT,3,Vermont,Eastern,VT,3,Vermont,Eastern,
50001,50017,Addison,Orange,173.32,1,173.32,34.50655625,0.02898,1,1,AC,VT,3,Vermont,Eastern,VT,3,Vermont,Eastern,
50001,50021,Addison,Rutland,1217.99,5,1217.99,117.6393628,0.008500556,1,5,AC,VT,3,Vermont,Eastern,VT,3,Vermont,Eastern,
50001,50023,Addison,Washington,690.45,2,690.45,88.37734627,0.011315117,1,2,AC,VT,3,Vermont,Eastern,VT,3,Vermont,Eastern,
50001,50027,Windsor,Addison,171.82,1,171.82,21.00222624,0.047614,1,1,AC,VT,3,Vermont,Eastern,VT,3,Vermont,Eastern,
50003,50021,Rutland,Bennington,766.82,3,766.82,75.56908761,0.013232924,1,3,AC,VT,3,Vermont,Eastern,VT,3,Vermont,Eastern,
50003,50025,Bennington,Bennington,869.62,4,869.62,216.6671587,0.004615374,1,4,AC,VT,3,Vermont,Eastern,VT,3,Vermont,Eastern,
50003,50027,Windsor,Bennington,424.06,1,424.06,50.15548199,0.019938,1,1,AC,VT,3,Vermont,Eastern,VT,3,Vermont,Eastern,
50005,50009,Caledonia,Essex,420.95,3,420.95,76.24761829,0.013115164,1,3,AC,VT,3,Vermont,Eastern,VT,3,Vermont,Eastern,
50005,50011,Franklin,Caledonia,472.59,1,472.59,18.07991322,0.05531,1,1,AC,VT,3,Vermont,Eastern,VT,3,Vermont,Eastern,
50005,50015,Caledonia,Caledonia,277.74,2,277.74,39.81198634,0.025118063,1,2,AC,VT,3,Vermont,Eastern,VT,3,Vermont,Eastern,
50005,50017,Caledonia,Orange,148.49,1,148.49,29.14857026,0.034307,1,1,AC,VT,3,Vermont,Eastern,VT,3,Vermont,Eastern,
50005,50019,Caledonia,Caledonia,2549.36,4,2549.36,329.8777288,0.003031426,1,4,AC,VT,3,Vermont,Eastern,VT,3,Vermont,Eastern,
50005,50023,Caledonia,Washington,343.83,1,343.83,23.40714386,0.042722,1,1,AC,VT,2,New Hampshire,Eastern,VT,3,Vermont,Eastern,
50007,50011,Chittenden,Franklin,3194.67,4,3194.67,430.4408826,0.002323199,1,4,AC,VT,3,Vermont,Eastern,VT,3,Vermont,Eastern,
50007,50013,Chittenden,Grand Isle,307.09,2,307.09,94.45972576,0.010586522,1,2,AC,VT,3,Vermont,Eastern,VT,3,Vermont,Eastern,
50007,50023,Chittenden,Washington,3435.31,6,3435.31,306.4523838,0.00326315,1,6,AC,VT,3,Vermont,Eastern,VT,3,Vermont,Eastern,
50009,50019,Essex,Orleans,406.71,3,406.71,89.69011939,0.0111495,1,3,AC,VT,3,Vermont,Eastern,VT,3,Vermont,Eastern,
50011,50013,Franklin,Grand Isle,657.83,5,657.83,152.0881235,0.006575135,1,5,AC,VT,3,Vermont,Eastern,VT,3,Vermont,Eastern,
50011,50015,Lamoille,Franklin,479.03,3,479.03,100.1873369,0.009981301,1,3,AC,VT,3,Vermont,Eastern,VT,3,Vermont,Eastern,
50011,50019,Franklin,Orleans,1277,7,1277,92.4907465,0.010811892,1,7,AC,VT,3,Vermont,Eastern,VT,3,Vermont,Eastern,
50015,50019,Lamoille,Orleans,1480.55,8,1480.55,227.2229436,0.004400964,1,8,AC,VT,3,Vermont,Eastern,VT,3,Vermont,Eastern,
50015,50023,Lamoille,Lamoille,607.85,2,607.85,96.26384013,0.010388117,1,2,AC,VT,3,Vermont,Eastern,VT,3,Vermont,Eastern,
50017,50023,Orange,Washington,1531.27,5,1531.27,327.3581865,0.003054758,1,5,AC,VT,3,Vermont,Eastern,VT,3,Vermont,Eastern,
50017,50027,Orange,Windsor,1021.09,5,1021.09,151.5417084,0.006598843,1,5,AC,VT,3,Vermont,Eastern,VT,3,Vermont,Eastern,
50021,50027,Rutland,Windsor,1570.13,6,1570.13,219.5276627,0.004555235,1,6,AC,VT,3,Vermont,Eastern,VT,3,Vermont,Eastern,
50023,50027,Washington,Windsor,167.17,1,167.17,7.766085505,0.128765,1,1,AC,VT,3,Vermont,Eastern,VT,3,Vermont,Eastern,
50025,50027,Windham,Windsor,109.37,1,109.37,45.31858969,0.022066,1,1,AC,VT,3,Vermont,Eastern,VT,3,Vermont,Eastern,
